Species,Length,Width,Height,Length/Width,Length/Height,Width/Height,Longest_Carpopodium_Diameter,Shortest_Carpopodium_Diameter,Stick_Diameter,Thorn_Diameter
Youngia sonchifolia,2.057,0.432,0.429,4.761574074,4.794871795,1.006993007,0.097,0.075,0.016,0.032
Youngia sonchifolia,2.037,0.391,0.379,5.20971867,5.374670185,1.031662269,0.072,0.068,0.026,0.022
Youngia sonchifolia,2.139,0.44,0.444,4.861363636,4.817567568,0.990990991,0.054,0.089,0.018,0.026
Youngia sonchifolia,1.927,0.389,0.447,4.953727506,4.310961969,0.870246085,0.067,0.054,0.02,0.027
Youngia sonchifolia,1.95,0.355,0.363,5.492957746,5.371900826,0.9779614325,0.073,0.065,0.028,0.03
Youngia sonchifolia,1.989,0.408,0.392,4.875,5.073979592,1.040816327,0.069,0.07,0.027,0.023
Youngia sonchifolia,2.012,0.406,0.421,4.955665025,4.779097387,0.9643705463,0.056,0.099,0.027,0.02
Youngia sonchifolia,1.975,0.437,0.38,4.519450801,5.197368421,1.15,0.072,0.056,0.027,0.018
Youngia sonchifolia,2.025,0.414,0.391,4.891304348,5.179028133,1.058823529,0.083,0.081,0.019,0.026
Youngia sonchifolia,2.206,0.413,0.384,5.341404358,5.744791667,1.075520833,0.099,0.075,0.027,0.025
Youngia sonchifolia,2.125,0.525,0.484,4.047619048,4.390495868,1.084710744,0.081,0.078,0.03,0.035
Youngia sonchifolia,2.162,0.414,0.417,5.222222222,5.184652278,0.9928057554,0.075,0.067,0.02,0.021
Youngia sonchifolia,2.136,0.425,0.371,5.025882353,5.757412399,1.145552561,0.088,0.055,0.02,0.023
Youngia sonchifolia,2.008,0.387,0.395,5.188630491,5.083544304,0.9797468354,0.066,0.034,0.015,0.032
Youngia sonchifolia,2.021,0.443,0.414,4.562076749,4.881642512,1.070048309,0.07,0.067,0.017,0.032
Youngia sonchifolia,2.07,0.426,0.367,4.85915493,5.640326975,1.160762943,0.078,0.075,0.018,0.025
Youngia sonchifolia,2.103,0.439,0.437,4.790432802,4.812356979,1.004576659,0.08,0.078,0.025,0.028
Youngia sonchifolia,2.066,0.398,0.41,5.190954774,5.03902439,0.9707317073,0.073,0.047,0.026,0.032
Youngia sonchifolia,2.027,0.409,0.337,4.95599022,6.014836795,1.213649852,0.068,0.055,0.017,0.031
Youngia sonchifolia,2.052,0.41,0.41,5.004878049,5.004878049,1,0.079,0.072,0.019,0.018
Youngia sonchifolia,2.033,0.412,0.419,4.934466019,4.85202864,0.9832935561,0.089,0.056,0.022,0.022
Youngia sonchifolia,1.926,0.339,0.442,5.681415929,4.357466063,0.7669683258,0.072,0.054,0.017,0.022
Youngia sonchifolia,2.076,0.405,0.418,5.125925926,4.966507177,0.9688995215,0.062,0.061,0.016,0.023
Youngia sonchifolia,1.952,0.376,0.303,5.191489362,6.442244224,1.240924092,0.087,0.086,0.017,0.025
Youngia sonchifolia,2.02,0.375,0.374,5.386666667,5.401069519,1.002673797,0.059,0.05,0.014,0.036
Youngia sonchifolia,2.068,0.423,0.401,4.888888889,5.157107232,1.054862843,0.073,0.061,0.022,0.032
Youngia sonchifolia,2.053,0.438,0.439,4.687214612,4.676537585,0.9977220957,0.067,0.082,0.016,0.032
Youngia sonchifolia,2.037,0.39,0.407,5.223076923,5.004914005,0.9582309582,0.093,0.06,0.018,0.023
Youngia sonchifolia,1.997,0.306,0.329,6.526143791,6.069908815,0.9300911854,0.076,0.048,0.012,0.028
Youngia sonchifolia,1.991,0.334,0.418,5.961077844,4.763157895,0.7990430622,0.073,0.039,0.015,0.026
Youngia sonchifolia,2.122,0.422,0.391,5.028436019,5.427109974,1.079283887,0.084,0.067,0.022,0.019
Youngia sonchifolia,2.029,0.374,0.366,5.42513369,5.543715847,1.021857923,0.069,0.066,0.017,0.026
Youngia sonchifolia,2.162,0.39,0.388,5.543589744,5.572164948,1.005154639,0.065,0.064,0.023,0.026
Youngia sonchifolia,2.101,0.382,0.399,5.5,5.26566416,0.9573934837,0.07,0.049,0.019,0.033
Youngia sonchifolia,2.04,0.392,0.396,5.204081633,5.151515152,0.9898989899,0.082,0.076,0.015,0.02
Aster pekinensis,2.381,1.539,0.11,1.547108512,21.64545455,13.99090909,0.146,0.125,0.042,0
Aster pekinensis,2.289,1.541,0.085,1.485399091,26.92941176,18.12941176,0.073,0.066,0.029,0
Aster pekinensis,2.229,1.397,0.082,1.595561918,27.18292683,17.03658537,0.13,0.098,0.031,0
Aster pekinensis,2.118,1.256,0.075,1.686305732,28.24,16.74666667,0.132,0.084,0.024,0
Aster pekinensis,2.67,1.575,0.105,1.695238095,25.42857143,15,0.137,0.123,0.028,0
Aster pekinensis,2.356,1.601,0.094,1.471580262,25.06382979,17.03191489,0.14,0.126,0.038,0
Aster pekinensis,2.518,1.645,0.087,1.530699088,28.94252874,18.90804598,0.128,0.127,0.04,0
Aster pekinensis,2.566,1.705,0.101,1.504985337,25.40594059,16.88118812,0.138,0.102,0.034,0
Aster pekinensis,2.49,1.513,0.111,1.645736946,22.43243243,13.63063063,0.113,0.095,0.034,0
Aster pekinensis,2.591,1.433,0.092,1.808094906,28.16304348,15.57608696,0.129,0.124,0.029,0
Aster pekinensis,2.497,1.533,0.082,1.628832355,30.45121951,18.69512195,0.163,0.106,0.039,0
Aster pekinensis,2.448,1.539,0.095,1.590643275,25.76842105,16.2,0.153,0.121,0.024,0
Aster pekinensis,2.482,1.626,0.1,1.526445264,24.82,16.26,0.143,0.111,0.027,0
Aster pekinensis,2.501,1.582,0.081,1.58091024,30.87654321,19.5308642,0.15,0.124,0.024,0
Aster pekinensis,2.461,1.521,0.111,1.618014464,22.17117117,13.7027027,0.139,0.121,0.032,0
Aster pekinensis,2.683,1.793,0.094,1.496374791,28.54255319,19.07446809,0.151,0.135,0.041,0
Aster pekinensis,2.51,1.606,0.109,1.562889166,23.02752294,14.73394495,0.144,0.125,0.028,0
Aster pekinensis,2.466,1.572,0.105,1.56870229,23.48571429,14.97142857,0.137,0.11,0.035,0
Aster pekinensis,2.373,1.499,0.102,1.58305537,23.26470588,14.69607843,0.145,0.124,0.034,0
Aster pekinensis,2.664,1.664,0.103,1.600961538,25.86407767,16.15533981,0.121,0.095,0.03,0
Aster pekinensis,2.485,1.659,0.121,1.497890295,20.53719008,13.7107438,0.15,0.147,0.046,0
Aster pekinensis,2.386,1.585,0.104,1.505362776,22.94230769,15.24038462,0.166,0.101,0.037,0
Aster pekinensis,2.642,1.626,0.124,1.624846248,21.30645161,13.11290323,0.153,0.115,0.035,0
Aster pekinensis,2.438,1.626,0.114,1.499384994,21.38596491,14.26315789,0.146,0.131,0.033,0
Aster pekinensis,2.459,1.468,0.088,1.67506812,27.94318182,16.68181818,0.154,0.124,0.023,0
Aster pekinensis,2.418,1.493,0.115,1.619557937,21.02608696,12.9826087,0.131,0.13,0.03,0
Aster pekinensis,2.647,1.606,0.109,1.648194271,24.28440367,14.73394495,0.133,0.119,0.025,0
Aster pekinensis,2.477,1.619,0.098,1.529956763,25.2755102,16.52040816,0.137,0.119,0.03,0
Aster pekinensis,2.535,1.663,0.085,1.524353578,29.82352941,19.56470588,0.152,0.135,0.036,0
Aster pekinensis,2.23,1.571,0.092,1.419478039,24.23913043,17.07608696,0.15,0.13,0.03,0
Aster pekinensis,2.338,1.51,0.085,1.548344371,27.50588235,17.76470588,0.163,0.138,0.034,0
Aster pekinensis,2.558,1.564,0.113,1.635549872,22.63716814,13.84070796,0.138,0.134,0.039,0
Aster pekinensis,2.603,1.735,0.107,1.500288184,24.3271028,16.21495327,0.167,0.121,0.039,0
Aster pekinensis,2.49,1.629,0.1,1.52854512,24.9,16.29,0.141,0.101,0.031,0
Aster pekinensis,2.33,1.471,0.098,1.583956492,23.7755102,15.01020408,0.141,0.123,0.035,0
Lactuca indica,3.471,1.902,0.07,1.824921136,49.58571429,27.17142857,0.168,0.137,0,0
Lactuca indica,3.168,2.001,0.061,1.583208396,51.93442623,32.80327869,0.181,0.133,0,0
Lactuca indica,3.475,1.822,0.083,1.907244786,41.86746988,21.95180723,0.146,0.145,0.029,0
Lactuca indica,3.548,1.78,0.031,1.993258427,114.4516129,57.41935484,0.126,0.115,0.024,0
Lactuca indica,3.066,1.519,0.059,2.01843318,51.96610169,25.74576271,0.145,0.134,0.021,0
Lactuca indica,3.345,1.656,0.077,2.019927536,43.44155844,21.50649351,0.16,0.102,0,0
Lactuca indica,3.285,1.855,0.056,1.770889488,58.66071429,33.125,0.16,0.13,0.023,0
Lactuca indica,3.131,1.629,0.07,1.92203806,44.72857143,23.27142857,0.147,0.134,0,0
Lactuca indica,3.327,1.741,0.04,1.910970706,83.175,43.525,0.148,0.101,0.022,0
Lactuca indica,3.374,1.449,0.052,2.328502415,64.88461538,27.86538462,0.151,0.11,0.019,0
Lactuca indica,3.362,1.921,0.061,1.750130141,55.1147541,31.49180328,0.165,0.12,0.024,0
Lactuca indica,3.598,1.91,0.068,1.883769634,52.91176471,28.08823529,0.147,0.146,0.028,0
Lactuca indica,3.099,1.879,0.065,1.649281533,47.67692308,28.90769231,0.156,0.082,0.02,0
Lactuca indica,3.42,1.749,0.068,1.955403087,50.29411765,25.72058824,0.157,0.112,0,0
Lactuca indica,3.456,1.844,0.039,1.874186551,88.61538462,47.28205128,0.158,0.132,0.027,0
Lactuca indica,3.359,1.778,0.048,1.88920135,69.97916667,37.04166667,0.161,0.104,0.022,0
Lactuca indica,3.114,1.975,0.062,1.576708861,50.22580645,31.85483871,0.179,0.086,0,0
Lactuca indica,3.444,1.724,0.06,1.997679814,57.4,28.73333333,0.172,0.128,0.019,0
Lactuca indica,3.142,1.447,0.059,2.171389081,53.25423729,24.52542373,0.134,0.129,0.024,0
Lactuca indica,3.289,1.825,0.062,1.802191781,53.0483871,29.43548387,0.152,0.118,0.023,0
Lactuca indica,3.313,1.804,0.066,1.836474501,50.1969697,27.33333333,0.127,0.11,0.024,0
Lactuca indica,3.003,1.819,0.052,1.650907092,57.75,34.98076923,0.16,0.13,0.032,0
Lactuca indica,3.308,1.765,0.048,1.874220963,68.91666667,36.77083333,0.18,0.103,0,0
Lactuca indica,3.711,1.818,0.043,2.041254125,86.30232558,42.27906977,0.15,0.149,0.025,0
Lactuca indica,3.538,1.926,0.054,1.836967809,65.51851852,35.66666667,0.169,0.119,0.029,0
Lactuca indica,3.416,1.983,0.049,1.722642461,69.71428571,40.46938776,0.161,0.106,0.024,0
Lactuca indica,3.6,1.804,0.067,1.99556541,53.73134328,26.92537313,0.171,0.107,0.035,0
Lactuca indica,3.616,1.851,0.052,1.953538628,69.53846154,35.59615385,0.149,0.107,0,0
Lactuca indica,3.568,1.857,0.055,1.921378568,64.87272727,33.76363636,0.143,0.132,0.025,0
Lactuca indica,3.795,1.977,0.068,1.919575114,55.80882353,29.07352941,0.192,0.132,0,0
Lactuca indica,3.289,1.961,0.065,1.677205507,50.6,30.16923077,0.155,0.141,0.032,0
Lactuca indica,3.201,1.641,0.067,1.950639854,47.7761194,24.49253731,0.143,0.093,0.035,0
Lactuca indica,3.659,1.849,0.07,1.978907518,52.27142857,26.41428571,0.164,0.097,0.032,0
Lactuca indica,3.417,1.912,0.048,1.787133891,71.1875,39.83333333,0.171,0.116,0.025,0
Lactuca indica,3.641,1.892,0.042,1.924418605,86.69047619,45.04761905,0.184,0.113,0.03,0
Taraxacum officinale,2.018,0.52,0.528,3.880769231,3.821969697,0.9848484848,0.134,0.126,0.022,0.166
Taraxacum officinale,1.996,0.389,0.354,5.131105398,5.638418079,1.098870056,0.09,0.077,0.009,1.918
Taraxacum officinale,1.491,0.294,0.295,5.071428571,5.054237288,0.9966101695,0.089,0.082,0.016,1.690
Taraxacum officinale,2.653,0.588,0.557,4.511904762,4.763016158,1.055655296,0.094,0.069,0.021,2.090
Taraxacum officinale,1.952,0.527,0.461,3.70398482,4.234273319,1.143167028,0.111,0.093,0.035,2.338
Taraxacum officinale,2.77,0.79,0.799,3.506329114,3.466833542,0.9887359199,0.106,0.095,0.016,1.962
Taraxacum officinale,2.309,0.523,0.56,4.414913958,4.123214286,0.9339285714,0.08,0.073,0.013,2.131
Taraxacum officinale,2.056,0.573,0.584,3.588132635,3.520547945,0.9811643836,0.082,0.080,0.01,2.156
Taraxacum officinale,2.287,0.441,0.435,5.185941043,5.257471264,1.013793103,0.087,0.072,0.02,2.173
Taraxacum officinale,2.564,0.601,0.617,4.266222962,4.155591572,0.9740680713,0.131,0.130,0.026,1.767
Taraxacum officinale,1.945,0.363,0.456,5.358126722,4.265350877,0.7960526316,0.084,0.080,0.018,1.475
Taraxacum officinale,1.928,0.52,0.569,3.707692308,3.388400703,0.913884007,0.125,0.119,0.026,2.214
Taraxacum officinale,2.445,0.564,0.574,4.335106383,4.259581882,0.9825783972,0.101,0.980,0.019,1.683
Taraxacum officinale,2.574,0.69,0.637,3.730434783,4.040816327,1.083202512,0.111,0.100,0.022,2.108
Taraxacum officinale,2.279,0.365,0.364,6.243835616,6.260989011,1.002747253,0.118,0.112,0.023,1.812
Taraxacum officinale,2.157,0.55,0.609,3.921818182,3.541871921,0.9031198686,0.121,0.115,0.023,1.509
Taraxacum officinale,2.181,0.443,0.428,4.923250564,5.095794393,1.035046729,0.106,0.960,0.013,2.225
Taraxacum officinale,2.664,0.645,0.612,4.130232558,4.352941176,1.053921569,0.111,0.093,0.017,0.162
Taraxacum officinale,2.45,0.51,0.466,4.803921569,5.25751073,1.094420601,0.091,0.089,0.025,0.198
Taraxacum officinale,2.92,0.413,0.417,7.070217918,7.002398082,0.9904076739,0.082,0.068,0.017,0.14
Taraxacum officinale,2.531,0.584,0.595,4.33390411,4.253781513,0.981512605,0.117,0.102,0.02,0.213
Taraxacum officinale,2.358,0.383,0.354,6.156657963,6.661016949,1.081920904,0.095,0.087,0.016,0.168
Taraxacum officinale,2.676,0.728,0.57,3.675824176,4.694736842,1.277192982,0.084,0.082,0.02,0.179
Taraxacum officinale,2.388,0.628,0.608,3.802547771,3.927631579,1.032894737,0.118,0.113,0.021,0.126
Taraxacum officinale,2.576,0.498,0.486,5.172690763,5.300411523,1.024691358,0.073,0.062,0.024,0.213
Taraxacum officinale,2.278,0.548,0.535,4.156934307,4.257943925,1.024299065,0.096,0.092,0.015,0.144
Taraxacum officinale,2.665,0.662,0.661,4.025679758,4.031770045,1.001512859,0.142,0.135,0.025,0.19
Taraxacum officinale,2.32,0.617,0.691,3.76012966,3.357452967,0.8929088278,0.105,0.082,0.027,0.169
Taraxacum officinale,2.21,0.521,0.488,4.24184261,4.528688525,1.067622951,0.109,0.072,0.026,0.174
Taraxacum officinale,2.046,0.273,0.339,7.494505495,6.03539823,0.8053097345,0.094,0.091,0.019,0.125
Taraxacum officinale,2.346,0.474,0.433,4.949367089,5.418013857,1.094688222,0.085,0.071,0.011,0.172
Taraxacum officinale,2.301,0.439,0.395,5.241457859,5.825316456,1.111392405,0.098,0.083,0.022,0.199
Taraxacum officinale,2.65,0.524,0.524,5.057251908,5.057251908,1,0.094,0.080,0.023,0.154
Taraxacum officinale,2.254,0.495,0.515,4.553535354,4.376699029,0.9611650485,0.092,0.077,0.022,0.213
Taraxacum officinale,2.293,0.468,0.487,4.89957265,4.708418891,0.9609856263,0.111,0.094,0.019,0.171
Erechtites hieracifolia,2.216,0.457,0.482,4.849015317,4.597510373,0.9481327801,0.139,0.127,0.019,0
Erechtites hieracifolia,2.221,0.627,0.578,3.542264753,3.842560554,1.084775087,0.168,0.143,0.028,0
Erechtites hieracifolia,2.241,0.593,0.583,3.779089376,3.843910806,1.017152659,0.157,0.151,0.028,0
Erechtites hieracifolia,2.316,0.519,0.599,4.462427746,3.866444073,0.8664440735,0.165,0.126,0.022,0
Erechtites hieracifolia,2.299,0.512,0.557,4.490234375,4.127468582,0.9192100539,0.148,0.134,0.026,0
Erechtites hieracifolia,2.233,0.578,0.563,3.863321799,3.96625222,1.026642984,0.141,0.124,0.02,0
Erechtites hieracifolia,2.265,0.58,0.506,3.905172414,4.476284585,1.146245059,0.16,0.14,0.023,0
Erechtites hieracifolia,2.346,0.523,0.491,4.485659656,4.778004073,1.065173116,0.166,0.143,0.023,0
Erechtites hieracifolia,2.283,0.575,0.509,3.970434783,4.485265226,1.129666012,0.137,0.199,0.022,0
Erechtites hieracifolia,2.25,0.575,0.57,3.913043478,3.947368421,1.00877193,0.125,0.139,0.023,0
Erechtites hieracifolia,2.277,0.505,0.508,4.508910891,4.482283465,0.9940944882,0.223,0.216,0.024,0
Erechtites hieracifolia,2.342,0.597,0.619,3.922948074,3.783521809,0.9644588045,0.127,0.159,0.027,0
Erechtites hieracifolia,2.303,0.484,0.627,4.758264463,3.673046252,0.7719298246,0.182,0.156,0.032,0
Erechtites hieracifolia,2.303,0.622,0.556,3.702572347,4.142086331,1.118705036,0.169,0.153,0.02,0
Erechtites hieracifolia,2.385,0.495,0.484,4.818181818,4.92768595,1.022727273,0.147,0.135,0.017,0
Erechtites hieracifolia,2.32,0.467,0.553,4.967880086,4.195298373,0.8444846293,0.161,0.153,0.022,0
Erechtites hieracifolia,2.323,0.576,0.485,4.032986111,4.789690722,1.187628866,0.151,0.142,0.027,0
Erechtites hieracifolia,2.282,0.511,0.511,4.465753425,4.465753425,1,0.16,0.149,0.019,0
Erechtites hieracifolia,2.356,0.465,0.474,5.066666667,4.970464135,0.9810126582,0.152,0.144,0.025,0
Erechtites hieracifolia,2.376,0.49,0.478,4.848979592,4.970711297,1.025104603,0.126,0.148,0.025,0
Erechtites hieracifolia,2.378,0.511,0.53,4.653620352,4.486792453,0.9641509434,0.203,0.156,0.027,0
Erechtites hieracifolia,2.282,0.498,0.477,4.582329317,4.784067086,1.044025157,0.151,0.142,0.017,0
Erechtites hieracifolia,2.293,0.428,0.409,5.357476636,5.606356968,1.046454768,0.141,0.127,0.024,0
Erechtites hieracifolia,2.211,0.395,0.417,5.597468354,5.302158273,0.9472422062,0.147,0.11,0.013,0
Erechtites hieracifolia,2.345,0.425,0.479,5.517647059,4.895615866,0.8872651357,0.159,0.143,0.012,0
Erechtites hieracifolia,2.361,0.386,0.355,6.116580311,6.650704225,1.087323944,0.166,0.15,0.013,0
Erechtites hieracifolia,2.35,0.519,0.535,4.527938343,4.392523364,0.9700934579,0.159,0.168,0.025,0
Erechtites hieracifolia,2.22,0.545,0.576,4.073394495,3.854166667,0.9461805556,0.161,0.129,0.014,0
Erechtites hieracifolia,2.294,0.534,0.491,4.29588015,4.67209776,1.087576375,0.168,0.166,0.021,0
Erechtites hieracifolia,2.429,0.549,0.513,4.424408015,4.734892788,1.070175439,0.146,0.148,0.025,0
Erechtites hieracifolia,2.104,0.43,0.427,4.893023256,4.927400468,1.007025761,0.173,0.145,0.026,0
Erechtites hieracifolia,2.263,0.519,0.548,4.360308285,4.129562044,0.947080292,0.167,0.14,0.019,0
Erechtites hieracifolia,2.3,0.56,0.548,4.107142857,4.197080292,1.02189781,0.159,0.125,0.027,0
Erechtites hieracifolia,2.171,0.563,0.569,3.856127886,3.815465729,0.9894551845,0.153,0.138,0.014,0
Erechtites hieracifolia,2.264,0.514,0.456,4.404669261,4.964912281,1.127192982,0.145,0.128,0.017,0
Taraxacum mongolicum,3.357,0.88,0.634,3.814772727,5.294952681,1.388012618,0.19,0.149,0.027,0.356
Taraxacum mongolicum,3.131,0.76,0.528,4.119736842,5.929924242,1.439393939,0.19,0.135,0.028,0.157
Taraxacum mongolicum,3.105,0.829,0.543,3.745476478,5.718232044,1.526703499,0.173,0.16,0.03,0.201
Taraxacum mongolicum,3.018,0.85,0.592,3.550588235,5.097972973,1.435810811,0.166,0.147,0.028,0.219
Taraxacum mongolicum,3.228,0.741,0.62,4.356275304,5.206451613,1.19516129,0.191,0.164,0.025,0.215
Taraxacum mongolicum,3.088,0.673,0.475,4.588410104,6.501052632,1.416842105,0.156,0.148,0.034,0.319
Taraxacum mongolicum,3.18,0.893,0.57,3.561030235,5.578947368,1.566666667,0.196,0.168,0.033,0.214
Taraxacum mongolicum,3.021,0.666,0.603,4.536036036,5.009950249,1.104477612,0.18,0.136,0.034,0.213
Taraxacum mongolicum,3.194,0.793,0.572,4.027742749,5.583916084,1.386363636,0.178,0.151,0.033,0.158
Taraxacum mongolicum,3.134,0.78,0.535,4.017948718,5.857943925,1.457943925,0.191,0.174,0.04,0.196
Taraxacum mongolicum,3.25,0.892,0.607,3.643497758,5.354200988,1.469522241,0.183,0.156,0.04,0.156
Taraxacum mongolicum,3.213,0.68,0.551,4.725,5.831215971,1.234119782,0.196,0.154,0.036,0.197
Taraxacum mongolicum,3.16,0.846,0.583,3.735224586,5.420240137,1.451114923,0.171,0.153,0.041,0.199
Taraxacum mongolicum,3.171,0.912,0.539,3.476973684,5.883116883,1.692022263,0.19,0.153,0.033,0.186
Taraxacum mongolicum,3.097,0.909,0.596,3.407040704,5.196308725,1.525167785,0.167,0.162,0.032,0.262
Taraxacum mongolicum,3.238,0.861,0.571,3.760743322,5.670753065,1.507880911,0.169,0.157,0.031,0.185
Taraxacum mongolicum,3.118,0.783,0.616,3.982120051,5.061688312,1.271103896,0.173,0.149,0.034,0.154
Taraxacum mongolicum,3.08,0.913,0.487,3.373493976,6.324435318,1.874743326,0.178,0.148,0.032,0.245
Taraxacum mongolicum,3.201,0.802,0.603,3.99127182,5.308457711,1.330016584,0.179,0.158,0.031,0.198
Taraxacum mongolicum,3.092,0.725,0.581,4.264827586,5.321858864,1.247848537,0.175,0.132,0.031,0.193
Taraxacum mongolicum,3.203,0.842,0.541,3.804038005,5.92051756,1.556377079,0.187,0.199,0.034,0.212
Taraxacum mongolicum,2.974,0.896,0.532,3.319196429,5.590225564,1.684210526,0.185,0.137,0.035,0.224
Taraxacum mongolicum,3.104,0.861,0.61,3.605110337,5.08852459,1.41147541,0.169,0.155,0.027,0.221
Taraxacum mongolicum,3.15,0.824,0.61,3.822815534,5.163934426,1.350819672,0.187,0.155,0.031,0.198
Taraxacum mongolicum,3.149,0.746,0.592,4.221179625,5.319256757,1.260135135,0.167,0.167,0.037,0.239
Taraxacum mongolicum,3.119,0.865,0.632,3.605780347,4.935126582,1.368670886,0.204,0.157,0.029,0.195
Taraxacum mongolicum,3.201,0.797,0.504,4.016311167,6.351190476,1.581349206,0.197,0.182,0.04,0.196
Taraxacum mongolicum,3.287,0.828,0.606,3.969806763,5.424092409,1.366336634,0.181,0.134,0.03,0.208
Taraxacum mongolicum,3.127,0.868,0.638,3.602534562,4.901253918,1.360501567,0.197,0.161,0.03,0.157
Taraxacum mongolicum,3.185,0.734,0.511,4.339237057,6.232876712,1.436399217,0.188,0.142,0.034,0.181
Taraxacum mongolicum,3.145,0.872,0.615,3.606651376,5.113821138,1.417886179,0.173,0.135,0.038,0.183
Taraxacum mongolicum,2.984,0.744,0.554,4.010752688,5.386281588,1.342960289,0.131,0.121,0.028,0.157
Taraxacum mongolicum,3.05,0.869,0.629,3.509781358,4.848966614,1.381558029,0.171,0.154,0.027,0.245
Taraxacum mongolicum,3.168,0.746,0.522,4.246648794,6.068965517,1.429118774,0.175,0.153,0.033,0.179
Taraxacum mongolicum,3.312,0.809,0.657,4.09394314,5.04109589,1.231354642,0.204,0.17,0.038,0.15