Species,Length,Width,Height,Longest_Carpopodium_Diameter,Shortest_Carpopodium_Diameter,Stick_Diameter,Thorn_Diameter
Youngia sonchifolia,2.057,0.432,0.429,0.097,0.075,0.016,0.032
Youngia sonchifolia,2.037,0.391,0.379,0.072,0.068,0.026,0.022
Youngia sonchifolia,2.139,0.44,0.444,0.054,0.089,0.018,0.026
Youngia sonchifolia,1.927,0.389,0.447,0.067,0.054,0.02,0.027
Youngia sonchifolia,1.95,0.355,0.363,0.073,0.065,0.028,0.03
Youngia sonchifolia,1.989,0.408,0.392,0.069,0.07,0.027,0.023
Youngia sonchifolia,2.012,0.406,0.421,0.056,0.099,0.027,0.02
Youngia sonchifolia,1.975,0.437,0.38,0.072,0.056,0.027,0.018
Youngia sonchifolia,2.025,0.414,0.391,0.083,0.081,0.019,0.026
Youngia sonchifolia,2.206,0.413,0.384,0.099,0.075,0.027,0.025
Youngia sonchifolia,2.125,0.525,0.484,0.081,0.078,0.03,0.035
Youngia sonchifolia,2.162,0.414,0.417,0.075,0.067,0.02,0.021
Youngia sonchifolia,2.136,0.425,0.371,0.088,0.055,0.02,0.023
Youngia sonchifolia,2.008,0.387,0.395,0.066,0.034,0.015,0.032
Youngia sonchifolia,2.021,0.443,0.414,0.07,0.067,0.017,0.032
Youngia sonchifolia,2.07,0.426,0.367,0.078,0.075,0.018,0.025
Youngia sonchifolia,2.103,0.439,0.437,0.08,0.078,0.025,0.028
Youngia sonchifolia,2.066,0.398,0.41,0.073,0.047,0.026,0.032
Youngia sonchifolia,2.027,0.409,0.337,0.068,0.055,0.017,0.031
Youngia sonchifolia,2.052,0.41,0.41,0.079,0.072,0.019,0.018
Youngia sonchifolia,2.033,0.412,0.419,0.089,0.056,0.022,0.022
Youngia sonchifolia,1.926,0.339,0.442,0.072,0.054,0.017,0.022
Youngia sonchifolia,2.076,0.405,0.418,0.062,0.061,0.016,0.023
Youngia sonchifolia,1.952,0.376,0.303,0.087,0.086,0.017,0.025
Youngia sonchifolia,2.02,0.375,0.374,0.059,0.05,0.014,0.036
Youngia sonchifolia,2.068,0.423,0.401,0.073,0.061,0.022,0.032
Youngia sonchifolia,2.053,0.438,0.439,0.067,0.082,0.016,0.032
Youngia sonchifolia,2.037,0.39,0.407,0.093,0.06,0.018,0.023
Youngia sonchifolia,1.997,0.306,0.329,0.076,0.048,0.012,0.028
Youngia sonchifolia,1.991,0.334,0.418,0.073,0.039,0.015,0.026
Youngia sonchifolia,2.122,0.422,0.391,0.084,0.067,0.022,0.019
Youngia sonchifolia,2.029,0.374,0.366,0.069,0.066,0.017,0.026
Youngia sonchifolia,2.162,0.39,0.388,0.065,0.064,0.023,0.026
Youngia sonchifolia,2.101,0.382,0.399,0.07,0.049,0.019,0.033
Youngia sonchifolia,2.04,0.392,0.396,0.082,0.076,0.015,0.02
Aster pekinensis,2.381,1.539,0.11,0.146,0.125,0.042,0
Aster pekinensis,2.289,1.541,0.085,0.073,0.066,0.029,0
Aster pekinensis,2.229,1.397,0.082,0.13,0.098,0.031,0
Aster pekinensis,2.118,1.256,0.075,0.132,0.084,0.024,0
Aster pekinensis,2.67,1.575,0.105,0.137,0.123,0.028,0
Aster pekinensis,2.356,1.601,0.094,0.14,0.126,0.038,0
Aster pekinensis,2.518,1.645,0.087,0.128,0.127,0.04,0
Aster pekinensis,2.566,1.705,0.101,0.138,0.102,0.034,0
Aster pekinensis,2.49,1.513,0.111,0.113,0.095,0.034,0
Aster pekinensis,2.591,1.433,0.092,0.129,0.124,0.029,0
Aster pekinensis,2.497,1.533,0.082,0.163,0.106,0.039,0
Aster pekinensis,2.448,1.539,0.095,0.153,0.121,0.024,0
Aster pekinensis,2.482,1.626,0.1,0.143,0.111,0.027,0
Aster pekinensis,2.501,1.582,0.081,0.15,0.124,0.024,0
Aster pekinensis,2.461,1.521,0.111,0.139,0.121,0.032,0
Aster pekinensis,2.683,1.793,0.094,0.151,0.135,0.041,0
Aster pekinensis,2.51,1.606,0.109,0.144,0.125,0.028,0
Aster pekinensis,2.466,1.572,0.105,0.137,0.11,0.035,0
Aster pekinensis,2.373,1.499,0.102,0.145,0.124,0.034,0
Aster pekinensis,2.664,1.664,0.103,0.121,0.095,0.03,0
Aster pekinensis,2.485,1.659,0.121,0.15,0.147,0.046,0
Aster pekinensis,2.386,1.585,0.104,0.166,0.101,0.037,0
Aster pekinensis,2.642,1.626,0.124,0.153,0.115,0.035,0
Aster pekinensis,2.438,1.626,0.114,0.146,0.131,0.033,0
Aster pekinensis,2.459,1.468,0.088,0.154,0.124,0.023,0
Aster pekinensis,2.418,1.493,0.115,0.131,0.13,0.03,0
Aster pekinensis,2.647,1.606,0.109,0.133,0.119,0.025,0
Aster pekinensis,2.477,1.619,0.098,0.137,0.119,0.03,0
Aster pekinensis,2.535,1.663,0.085,0.152,0.135,0.036,0
Aster pekinensis,2.23,1.571,0.092,0.15,0.13,0.03,0
Aster pekinensis,2.338,1.51,0.085,0.163,0.138,0.034,0
Aster pekinensis,2.558,1.564,0.113,0.138,0.134,0.039,0
Aster pekinensis,2.603,1.735,0.107,0.167,0.121,0.039,0
Aster pekinensis,2.49,1.629,0.1,0.141,0.101,0.031,0
Aster pekinensis,2.33,1.471,0.098,0.141,0.123,0.035,0
Lactuca indica,3.471,1.902,0.07,0.168,0.137,0,0
Lactuca indica,3.168,2.001,0.061,0.181,0.133,0,0
Lactuca indica,3.475,1.822,0.083,0.146,0.145,0.029,0
Lactuca indica,3.548,1.78,0.031,0.126,0.115,0.024,0
Lactuca indica,3.066,1.519,0.059,0.145,0.134,0.021,0
Lactuca indica,3.345,1.656,0.077,0.16,0.102,0,0
Lactuca indica,3.285,1.855,0.056,0.16,0.13,0.023,0
Lactuca indica,3.131,1.629,0.07,0.147,0.134,0,0
Lactuca indica,3.327,1.741,0.04,0.148,0.101,0.022,0
Lactuca indica,3.374,1.449,0.052,0.151,0.11,0.019,0
Lactuca indica,3.362,1.921,0.061,0.165,0.12,0.024,0
Lactuca indica,3.598,1.91,0.068,0.147,0.146,0.028,0
Lactuca indica,3.099,1.879,0.065,0.156,0.082,0.02,0
Lactuca indica,3.42,1.749,0.068,0.157,0.112,0,0
Lactuca indica,3.456,1.844,0.039,0.158,0.132,0.027,0
Lactuca indica,3.359,1.778,0.048,0.161,0.104,0.022,0
Lactuca indica,3.114,1.975,0.062,0.179,0.086,0,0
Lactuca indica,3.444,1.724,0.06,0.172,0.128,0.019,0
Lactuca indica,3.142,1.447,0.059,0.134,0.129,0.024,0
Lactuca indica,3.289,1.825,0.062,0.152,0.118,0.023,0
Lactuca indica,3.313,1.804,0.066,0.127,0.11,0.024,0
Lactuca indica,3.003,1.819,0.052,0.16,0.13,0.032,0
Lactuca indica,3.308,1.765,0.048,0.18,0.103,0,0
Lactuca indica,3.711,1.818,0.043,0.15,0.149,0.025,0
Lactuca indica,3.538,1.926,0.054,0.169,0.119,0.029,0
Lactuca indica,3.416,1.983,0.049,0.161,0.106,0.024,0
Lactuca indica,3.6,1.804,0.067,0.171,0.107,0.035,0
Lactuca indica,3.616,1.851,0.052,0.149,0.107,0,0
Lactuca indica,3.568,1.857,0.055,0.143,0.132,0.025,0
Lactuca indica,3.795,1.977,0.068,0.192,0.132,0,0
Lactuca indica,3.289,1.961,0.065,0.155,0.141,0.032,0
Lactuca indica,3.201,1.641,0.067,0.143,0.093,0.035,0
Lactuca indica,3.659,1.849,0.07,0.164,0.097,0.032,0
Lactuca indica,3.417,1.912,0.048,0.171,0.116,0.025,0
Lactuca indica,3.641,1.892,0.042,0.184,0.113,0.03,0
Taraxacum officinale,2.018,0.52,0.528,0.134,0.126,0.022,0.194
Taraxacum officinale,1.996,0.389,0.354,0.09,0.077,0.009,1.926
Taraxacum officinale,1.491,0.294,0.295,0.089,0.082,0.016,2.147
Taraxacum officinale,2.653,0.588,0.557,0.094,0.069,0.021,1.982
Taraxacum officinale,1.952,0.527,0.461,0.111,0.093,0.035,1.680
Taraxacum officinale,2.77,0.79,0.799,0.106,0.095,0.016,2.274
Taraxacum officinale,2.309,0.523,0.56,0.08,0.073,0.013,1.724
Taraxacum officinale,2.056,0.573,0.584,0.082,0.080,0.01,1.551
Taraxacum officinale,2.287,0.441,0.435,0.087,0.072,0.02,1.684
Taraxacum officinale,2.564,0.601,0.617,0.131,0.130,0.026,2.390
Taraxacum officinale,1.945,0.363,0.456,0.084,0.080,0.018,1.986
Taraxacum officinale,1.928,0.52,0.569,0.125,0.119,0.026,1.665
Taraxacum officinale,2.445,0.564,0.574,0.101,0.980,0.019,2.364
Taraxacum officinale,2.574,0.69,0.637,0.111,0.100,0.022,1.432
Taraxacum officinale,2.279,0.365,0.364,0.118,0.112,0.023,1.903
Taraxacum officinale,2.157,0.55,0.609,0.121,0.115,0.023,2.330
Taraxacum officinale,2.181,0.443,0.428,0.106,0.960,0.013,2.220
Taraxacum officinale,2.664,0.645,0.612,0.111,0.093,0.017,0.162
Taraxacum officinale,2.45,0.51,0.466,0.091,0.089,0.025,0.198
Taraxacum officinale,2.92,0.413,0.417,0.082,0.068,0.017,0.14
Taraxacum officinale,2.531,0.584,0.595,0.117,0.102,0.02,0.213
Taraxacum officinale,2.358,0.383,0.354,0.095,0.087,0.016,0.168
Taraxacum officinale,2.676,0.728,0.57,0.084,0.082,0.02,0.179
Taraxacum officinale,2.388,0.628,0.608,0.118,0.113,0.021,0.126
Taraxacum officinale,2.576,0.498,0.486,0.073,0.062,0.024,0.213
Taraxacum officinale,2.278,0.548,0.535,0.096,0.092,0.015,0.144
Taraxacum officinale,2.665,0.662,0.661,0.142,0.135,0.025,0.19
Taraxacum officinale,2.32,0.617,0.691,0.105,0.082,0.027,0.169
Taraxacum officinale,2.21,0.521,0.488,0.109,0.072,0.026,0.174
Taraxacum officinale,2.046,0.273,0.339,0.094,0.091,0.019,0.125
Taraxacum officinale,2.346,0.474,0.433,0.085,0.071,0.011,0.172
Taraxacum officinale,2.301,0.439,0.395,0.098,0.083,0.022,0.199
Taraxacum officinale,2.65,0.524,0.524,0.094,0.080,0.023,0.154
Taraxacum officinale,2.254,0.495,0.515,0.092,0.077,0.022,0.213
Taraxacum officinale,2.293,0.468,0.487,0.111,0.094,0.019,0.171
Erechtites hieracifolia,2.216,0.457,0.482,0.139,0.127,0.019,0
Erechtites hieracifolia,2.221,0.627,0.578,0.168,0.143,0.028,0
Erechtites hieracifolia,2.241,0.593,0.583,0.157,0.151,0.028,0
Erechtites hieracifolia,2.316,0.519,0.599,0.165,0.126,0.022,0
Erechtites hieracifolia,2.299,0.512,0.557,0.148,0.134,0.026,0
Erechtites hieracifolia,2.233,0.578,0.563,0.141,0.124,0.02,0
Erechtites hieracifolia,2.265,0.58,0.506,0.16,0.14,0.023,0
Erechtites hieracifolia,2.346,0.523,0.491,0.166,0.143,0.023,0
Erechtites hieracifolia,2.283,0.575,0.509,0.137,0.199,0.022,0
Erechtites hieracifolia,2.25,0.575,0.57,0.125,0.139,0.023,0
Erechtites hieracifolia,2.277,0.505,0.508,0.223,0.216,0.024,0
Erechtites hieracifolia,2.342,0.597,0.619,0.127,0.159,0.027,0
Erechtites hieracifolia,2.303,0.484,0.627,0.182,0.156,0.032,0
Erechtites hieracifolia,2.303,0.622,0.556,0.169,0.153,0.02,0
Erechtites hieracifolia,2.385,0.495,0.484,0.147,0.135,0.017,0
Erechtites hieracifolia,2.32,0.467,0.553,0.161,0.153,0.022,0
Erechtites hieracifolia,2.323,0.576,0.485,0.151,0.142,0.027,0
Erechtites hieracifolia,2.282,0.511,0.511,0.16,0.149,0.019,0
Erechtites hieracifolia,2.356,0.465,0.474,0.152,0.144,0.025,0
Erechtites hieracifolia,2.376,0.49,0.478,0.126,0.148,0.025,0
Erechtites hieracifolia,2.378,0.511,0.53,0.203,0.156,0.027,0
Erechtites hieracifolia,2.282,0.498,0.477,0.151,0.142,0.017,0
Erechtites hieracifolia,2.293,0.428,0.409,0.141,0.127,0.024,0
Erechtites hieracifolia,2.211,0.395,0.417,0.147,0.11,0.013,0
Erechtites hieracifolia,2.345,0.425,0.479,0.159,0.143,0.012,0
Erechtites hieracifolia,2.361,0.386,0.355,0.166,0.15,0.013,0
Erechtites hieracifolia,2.35,0.519,0.535,0.159,0.168,0.025,0
Erechtites hieracifolia,2.22,0.545,0.576,0.161,0.129,0.014,0
Erechtites hieracifolia,2.294,0.534,0.491,0.168,0.166,0.021,0
Erechtites hieracifolia,2.429,0.549,0.513,0.146,0.148,0.025,0
Erechtites hieracifolia,2.104,0.43,0.427,0.173,0.145,0.026,0
Erechtites hieracifolia,2.263,0.519,0.548,0.167,0.14,0.019,0
Erechtites hieracifolia,2.3,0.56,0.548,0.159,0.125,0.027,0
Erechtites hieracifolia,2.171,0.563,0.569,0.153,0.138,0.014,0
Erechtites hieracifolia,2.264,0.514,0.456,0.145,0.128,0.017,0